Manômetro,(0 a 25 kgf/cm2),Wika,239791,239791,82002N9A,3616SS,LAFTEC,2304196,2023-02-17,2023-05-18,ALMOXARIFADO
Manômetro,0 kgf/cm² | 250 kgf/cm²,Wika,239792,239792,82002N9D,316SS,MSMI,C205263/25,2025-07-09,2025-10-07,OBRA 118
Manômetro,0 kgf/cm² | 250 kgf/cm²,Wika,239794,239794,82002N9B,316SS,LAFTEC,2503384,2025-02-06,2025-05-07,OBRA 118
Manômetro,0 kgf/cm² | 250 kgf/cm²,Wika,239796,239796,82002N9C,316SS,MSMI,C205264/25,2025-07-09,2025-10-07,OBRA 118
Manômetro,(0 a 60 kg/f2),Wika,351209,351209,8200A91C,316SS,LAFTEC,2518909,2025-06-17,2025-09-15,ALMOXARIFADO
Manômetro,(0 a 160 kgf/cm2),Wika,351248,351248,8200A91D,"""233.34.4.4.1/2""""""",MSMI,C202312/25,2025-07-09,2025-10-07,OBRA 118
Manômetro,(0 a 600 kgf/cm2),Wika,8200A91E,8200A91E,8200A91E,"""233.34.4.4.1/2""""""",WIKA DO BRASIL,LMP351247/22,2022-06-03,2022-09-01,ALMOXARIFADO
Manômetro,(0 a 25 kgf/cm2),Wika,8200DA31,8200DA31,8200DA31,"""233.34.4.1/2""""""",WIKA DO BRASIL,LPM396525/23,2023-07-21,2023-10-19,ALMOXARIFADO
Manômetro,(0 a 50 kgf/cm2),Wika,8200DA34,8200DA34,8200DA34,"""233.34.4.1/2""""""",WIKA DO BRASIL,LPM398386/23,2023-08-01,2023-10-30,ALMOXARIFADO
Manômetro,(0 a 7 kgf/cm2),Harris,MAN-01,MAN-01,N/C,25GX-50L-AR,LAFTEC,2303331,2023-02-14,2023-05-15,ALMOXARIFADO
